route,free_flow,travel_time,time stamp
"""I-84 EB at Exit 216 / OR331 TO I-84 EB at La Grande""","""38 min""","""49 min""",4/23/2024 14:00
"""I-84 EB at MP 265 La Grande TO I-84 EB at North Powder""","""18 min""","""21 min""",4/23/2024 14:00
"""I-84 EB at North Powder TO I-84 EB at Baker City""","""15 min""","""17 min""",4/23/2024 14:00
"""I-84 EB NE 28th Ave TO NE Airport Way via I-205 NB""","""10 min""","""10 min""",4/23/2024 14:00
"""I-84 EB Troutdale TO Hood River""","""46 min""","""46 min""",4/23/2024 14:00
"""WB""","""WB""","""WB""",4/23/2024 14:00
"""I-84 WB at Baker City TO I-84 WB at North Powder""","""15 min""","""18 min""",4/23/2024 14:00
"""I-84 WB at La Grande TO I-84 WB at Exit 216 / OR331""","""38 min""","""44 min""",4/23/2024 14:00
"""I-84 WB at North Powder TO I-84 WB at Exit 265 La Grande""","""18 min""","""21 min""",4/23/2024 14:00
"""I-84 WB Hood River TO Troutdale""","""63 min""","""65 min""",4/23/2024 14:00
"""I-84 WB NE 223rd Ave TO I-5""","""14 min""","""14 min""",4/23/2024 14:00
"""I-84 WB NE 223rd Ave TO I-205""","""7 min""","""7 min""",4/23/2024 14:00
"""I-84 WB NE 28th Ave TO SR14 via I-5 NB""","""10 min""","""12 min""",4/23/2024 14:00
"""I-84 WB NE 28th Ave TO ORE217 via I-5 SB""","""14 min""","""14 min""",4/23/2024 14:00
"""OR126 WB""","""OR126 WB""","""OR126 WB""",4/23/2024 14:00
"""OR126 WB 52nd St. TO I-5""","""6 min""","""7 min""",4/23/2024 14:00
"""OR35 SB""","""OR35 SB""","""OR35 SB""",4/23/2024 14:00
"""OR35 SB Parkdale TO Government Camp""",null,"""33 min""",4/23/2024 14:00
"""OR35 SB Parkdale TO Mt. Hood Meadows Dr.""",null,"""23 min""",4/23/2024 14:00
"""NB""","""NB""","""NB""",4/23/2024 14:00
"""ORE217 NB Allen Blvd TO NW 185th/US26 WB""","""10 min""","""10 min""",4/23/2024 14:00
"""ORE217 NB N. of OR99W TO US26""","""6 min""",null,4/23/2024 14:00
"""ORE217 NB N. of OR99W TO NW 185th/US26 WB""","""13 min""",null,4/23/2024 14:00
"""ORE217 NB SW Walker Rd TO I-405 via US26 EB""","""8 min""","""12 min""",4/23/2024 14:00
"""ORE217 NB SW Walker Rd TO NW 185th/US26 WB""","""9 min""","""9 min""",4/23/2024 14:00
"""SB""","""SB""","""SB""",4/23/2024 14:00
"""ORE217 SB N. of OR99W TO I205 via I-5 SB""","""7 min""","""7 min""",4/23/2024 14:00
"""ORE217 SB N. of OR99W TO I-405 via I-5 NB""","""11 min""","""11 min""",4/23/2024 14:00
"""ORE217 SB SW Walker Rd TO I-5""","""8 min""",null,4/23/2024 14:00
"""ORE217 SB SW Walker Rd TO I-205 via I-5 SB""","""12 min""",null,4/23/2024 14:00
